10,1383108
11,4543130
12,6199843
13,5117388
14,612665
15,2993164
16,2555110
17,2593172
18,2476443
19,1567646
20,7523
21,1076138
22,3608561
23,1390984
24,7156499
25,1144599
26,1518486
27,5459931
28,1092651
29,7735751
30,5722705
31,15777
32,228460
33,7148239
34,3781039
35,1464880
36,1294613
37,2832686
38,250533
39,7486739
40,2552203
41,2452863
42,2210250
43,6981749
44,3989975
45,3170061
46,196942
47,9270126
48,1993885
49,3988411
50,4476906
51,4308518
52,5209101
53,1880109
54,1351275
55,6194420
56,99281
57,2456990
58,4368319
59,5079915
60,1871760
61,1150254
62,2706568
63,345059
64,483296
65,620455
66,1579737
67,1194680
68,2568752
69,162585
70,456508
71,1876516
72,2813768
73,2031680
74,1272577
75,6425323
76,4404145
77,3410083
78,633717
79,4399181
80,7162540
81,1517876
82,555127
83,2078359
84,26573
85,5857307
86,864253
87,85416
88,1395424
89,1517619
90,805744
91,2285076
92,586031
93,1600311
94,892820
95,5249718
96,747932
97,5280222
98,925604
99,13605
100,611773
101,783388
102,1778795
103,3376577
104,924441
105,261325
106,657516
107,1113152
108,6921771
109,1652196
110,539011
111,1909597
112,2582778
113,136470
114,1391556
115,4934911
116,5366007
117,7135261
118,6458954
119,1267449
120,242384
121,5533760
122,704252
123,1238129
124,2701177
125,3648210
126,8024893
127,220054
128,436312
129,825815
130,1080276
131,8927491
132,2682031
133,1700036
134,12555
135,5428223
136,494004
137,2507850
138,2913530
139,818054
140,2898273
141,2493852
142,5155519
143,69723
144,459222
145,4301877
146,5845055
147,3860202
148,701489
149,808370
150,5628132
151,1695147
152,1805709
153,658489
154,853451
155,2776620
156,2400811
157,5361609
158,4885752
159,2577280
160,7008325
161,3514890
162,539298
163,520442
164,2751479
165,786410
166,3185160
167,124692
168,2370298
169,3975185
170,1309454
171,158050
172,3440464
173,620107
174,277271
175,6149451
176,3511554
177,3241054
178,5140247
179,1737654
180,1461311
181,924180
182,2891240
183,1894631
184,6589540
185,886752
186,235828
187,8054228
188,6438534
189,4219529
190,1207353
191,244268
192,524625
193,4370309
194,1898191
195,5193934
196,457589
197,8217635
198,762882
199,2068562
200,6501142
201,338570
202,4077373
203,4083696
204,808172
205,1353325
206,567654
207,1759307
208,7415882
209,652775
210,573077
